sensors/logging_button,2015-03-29 06:24:28.351,START
sensors/imu,2015-03-29 06:24:29.900,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.32,-3.46
sensors/steering,2015-03-29 06:24:29.910,4514.0
sensors/imu,2015-03-29 06:24:29.916,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.32,-3.45
sensors/brake,2015-03-29 06:24:29.926,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:29.939,0.0,0.0,0.0,0.0
sensors/steering,2015-03-29 06:24:29.942,4514.0
sensors/imu,2015-03-29 06:24:29.949,0.0,0.0,0.0,0.0,0.0,0.0,169.66,-6.33,-3.45
sensors/brake,2015-03-29 06:24:29.958,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.966,0.0,0.0,0.0,0.0,0.0,0.0,169.66,-6.33,-3.44
sensors/steering,2015-03-29 06:24:29.975,4514.0
sensors/imu,2015-03-29 06:24:29.983,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.33,-3.46
sensors/brake,2015-03-29 06:24:29.991,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.007,4514.0
sensors/imu,2015-03-29 06:24:30.015,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.34,-3.45
sensors/gps,2015-03-29 06:24:30.017,2015-03-29 10:25:07.017,40.433457983334854,N,8.585152658356561,W,1,4,2.85,303.8
sensors/brake,2015-03-29 06:24:30.023,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.031,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.33,-3.46
sensors/steering,2015-03-29 06:24:30.040,4514.0
sensors/encoder,2015-03-29 06:24:30.043,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:30.047,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.31,-3.45
sensors/brake,2015-03-29 06:24:30.056,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.072,4514.0
sensors/imu,2015-03-29 06:24:30.086,0.0,0.0,0.0,0.0,0.0,0.0,169.67,-6.31,-3.45
sensors/imu,2015-03-29 06:24:30.086,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.3,-3.46
sensors/brake,2015-03-29 06:24:30.088,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.102,0.0,0.0,0.0,0.0,0.0,0.0,169.71,-6.29,-3.47
sensors/steering,2015-03-29 06:24:30.104,4514.0
sensors/brake,2015-03-29 06:24:30.120,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:30.130,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:30.134,0.0,0.0,0.0,0.0,0.0,0.0,169.72,-6.29,-3.47
sensors/steering,2015-03-29 06:24:30.136,4514.0
sensors/imu,2015-03-29 06:24:30.150,0.0,0.0,0.0,0.0,0.0,0.0,169.75,-6.3,-3.48
sensors/brake,2015-03-29 06:24:30.152,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.166,0.0,0.0,0.0,0.0,0.0,0.0,169.75,-6.31,-3.47
sensors/steering,2015-03-29 06:24:30.168,4514.0
sensors/imu,2015-03-29 06:24:30.182,0.0,0.0,0.0,0.0,0.0,0.0,169.75,-6.32,-3.48
sensors/brake,2015-03-29 06:24:30.184,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.201,4514.0
sensors/brake,2015-03-29 06:24:30.201,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.216,0.0,0.0,0.0,0.0,0.0,0.0,169.75,-6.32,-3.47
sensors/imu,2015-03-29 06:24:30.233,0.0,0.0,0.0,0.0,0.0,0.0,169.77,-6.32,-3.46
sensors/steering,2015-03-29 06:24:30.235,4514.0
sensors/brake,2015-03-29 06:24:30.235,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:30.237,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:30.249,0.0,0.0,0.0,0.0,0.0,0.0,169.77,-6.32,-3.47
sensors/steering,2015-03-29 06:24:30.251,4514.0
sensors/brake,2015-03-29 06:24:30.267,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.283,0.0,0.0,0.0,0.0,0.0,0.0,169.77,-6.33,-3.47
sensors/steering,2015-03-29 06:24:30.283,4514.0
sensors/imu,2015-03-29 06:24:30.300,0.0,0.0,0.0,0.0,0.0,0.0,169.76,-6.33,-3.46
sensors/brake,2015-03-29 06:24:30.300,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.316,0.0,0.0,0.0,0.0,0.0,0.0,169.76,-6.34,-3.47
sensors/steering,2015-03-29 06:24:30.316,4514.0
sensors/brake,2015-03-29 06:24:30.332,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:30.337,0.0,0.0,0.0,0.0
sensors/steering,2015-03-29 06:24:30.348,4514.0
sensors/imu,2015-03-29 06:24:30.348,0.0,0.0,0.0,0.0,0.0,0.0,169.77,-6.34,-3.46
sensors/imu,2015-03-29 06:24:30.364,0.0,0.0,0.0,0.0,0.0,0.0,169.76,-6.34,-3.47
sensors/brake,2015-03-29 06:24:30.364,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.381,4514.0
sensors/imu,2015-03-29 06:24:30.381,0.0,0.0,0.0,0.0,0.0,0.0,169.75,-6.34,-3.47
sensors/brake,2015-03-29 06:24:30.398,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.414,4514.0
sensors/imu,2015-03-29 06:24:30.414,0.0,0.0,0.0,0.0,0.0,0.0,169.76,-6.35,-3.45
sensors/imu,2015-03-29 06:24:30.431,0.0,0.0,0.0,0.0,0.0,0.0,169.78,-6.36,-3.47
sensors/brake,2015-03-29 06:24:30.431,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:30.440,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:30.447,0.0,0.0,0.0,0.0,0.0,0.0,169.8,-6.36,-3.48
sensors/steering,2015-03-29 06:24:30.447,4514.0
sensors/brake,2015-03-29 06:24:30.463,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.479,4514.0
sensors/imu,2015-03-29 06:24:30.487,0.0,0.0,0.0,0.0,0.0,0.0,169.81,-6.37,-3.47
sensors/imu,2015-03-29 06:24:30.487,0.0,0.0,0.0,0.0,0.0,0.0,169.8,-6.37,-3.48
sensors/brake,2015-03-29 06:24:30.495,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.504,0.0,0.0,0.0,0.0,0.0,0.0,169.81,-6.38,-3.47
sensors/steering,2015-03-29 06:24:30.512,4514.0
sensors/brake,2015-03-29 06:24:30.512,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.537,0.0,0.0,0.0,0.0,0.0,0.0,169.83,-6.37,-3.48
sensors/encoder,2015-03-29 06:24:30.545,0.0,0.0,0.0,0.0
sensors/brake,2015-03-29 06:24:30.545,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.545,4514.0
sensors/imu,2015-03-29 06:24:30.553,0.0,0.0,0.0,0.0,0.0,0.0,169.83,-6.36,-3.48
sensors/imu,2015-03-29 06:24:30.570,0.0,0.0,0.0,0.0,0.0,0.0,169.83,-6.36,-3.49
sensors/steering,2015-03-29 06:24:30.578,4514.0
sensors/brake,2015-03-29 06:24:30.578,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.586,0.0,0.0,0.0,0.0,0.0,0.0,169.84,-6.36,-3.48
sensors/steering,2015-03-29 06:24:30.594,4514.0
sensors/brake,2015-03-29 06:24:30.610,'brakeV0.1',false

